	id_str	concept	No	Yes	total	percent_no	percent_yes
0	1000148310345289729	war	5.0	3.0	8.0	0.625	0.375
1	1000206422448062464	animal	10.0	2.0	12.0	0.8333333333333334	0.1666666666666666
2	1000225752724291584	war	2.0	4.0	6.0	0.3333333333333333	0.6666666666666666
3	1000237652396961792	commodity	8.0	1.0	9.0	0.8888888888888888	0.1111111111111111
4	1000471256674717696	commodity	8.0	0.0	8.0	1.0	0.0
5	1000758996427595779	pressure	6.0	2.0	8.0	0.75	0.25
6	1000875779247562753	vermin	8.0	0.0	8.0	1.0	0.0
7	1001076022886961157	commodity	1.0	8.0	9.0	0.1111111111111111	0.8888888888888888
8	1001226237690425345	parasite	4.0	4.0	8.0	0.5	0.5
9	1001251751230672896	domain-agnostic	3.0	2.0	5.0	0.6	0.4
10	1001616686687096832	animal	1.0	7.0	8.0	0.125	0.875
11	1001808990106472448	parasite	8.0	0.0	8.0	1.0	0.0
12	1002205605170380800	commodity	2.0	7.0	9.0	0.2222222222222222	0.7777777777777778
13	1002641722575241217	domain-agnostic	5.0	2.0	7.0	0.7142857142857143	0.2857142857142857
14	1002958325854691330	vermin	5.0	0.0	5.0	1.0	0.0
15	1002992027921874944	commodity	5.0	2.0	7.0	0.7142857142857143	0.2857142857142857
16	1003033903035138048	commodity	3.0	6.0	9.0	0.3333333333333333	0.6666666666666666
17	1003779757639598080	pressure	6.0	2.0	8.0	0.75	0.25
18	1004003097608323072	pressure	7.0	2.0	9.0	0.7777777777777778	0.2222222222222222
19	1004064158718054400	commodity	7.0	3.0	10.0	0.7	0.3
20	1004549916159401986	commodity	4.0	4.0	8.0	0.5	0.5
21	1004934051898241024	domain-agnostic	1.0	6.0	7.0	0.1428571428571428	0.8571428571428571
22	1005111416041291778	domain-agnostic	4.0	1.0	5.0	0.8	0.2
23	1005114750085328897	animal	3.0	4.0	7.0	0.4285714285714285	0.5714285714285714
24	1005116067943886848	pressure	5.0	4.0	9.0	0.5555555555555556	0.4444444444444444
25	1005134608860471296	water	7.0	0.0	7.0	1.0	0.0
26	1005534886394884096	pressure	4.0	3.0	7.0	0.5714285714285714	0.4285714285714285
27	1005656991363026946	domain-agnostic	5.0	4.0	9.0	0.5555555555555556	0.4444444444444444
28	1005883484223819777	vermin	5.0	0.0	5.0	1.0	0.0
29	1006470573940264961	animal	1.0	7.0	8.0	0.125	0.875
30	1006583754717061121	vermin	6.0	1.0	7.0	0.8571428571428571	0.1428571428571428
31	1006922801268297728	vermin	5.0	1.0	6.0	0.8333333333333334	0.1666666666666666
32	1007220243276673024	war	2.0	6.0	8.0	0.25	0.75
33	1007275772950827009	water	5.0	4.0	9.0	0.5555555555555556	0.4444444444444444
34	1007383418508804096	war	6.0	3.0	9.0	0.6666666666666666	0.3333333333333333
35	1007383504907317249	war	8.0	0.0	8.0	1.0	0.0
36	1007396253917949954	water	1.0	7.0	8.0	0.125	0.875
37	1007426678946254848	vermin	6.0	1.0	7.0	0.8571428571428571	0.1428571428571428
38	1007474892080545793	war	2.0	6.0	8.0	0.25	0.75
39	1007568014865305601	domain-agnostic	2.0	4.0	6.0	0.3333333333333333	0.6666666666666666
40	1007599822755520512	animal	4.0	8.0	12.0	0.3333333333333333	0.6666666666666666
41	1007614840037310464	animal	3.0	4.0	7.0	0.4285714285714285	0.5714285714285714
42	1007626803907661824	pressure	5.0	4.0	9.0	0.5555555555555556	0.4444444444444444
43	1007632614692458496	domain-agnostic	5.0	1.0	6.0	0.8333333333333334	0.1666666666666666
44	1007637599194898433	water	8.0	0.0	8.0	1.0	0.0
45	1007721934883315712	parasite	1.0	8.0	9.0	0.1111111111111111	0.8888888888888888
