"term"	"estimate"	"std.error"	"statistic"	"p.value"	"concept"	"p.corrected"
"1"	"(Intercept)"	0.203215651069677	0.00187780810000946	108.219605117612	0	"animal"	0
"2"	"ideology"	0.00897141418599372	0.000261487672019348	34.3091286740657	1.3634146238771e-257	"animal"	4.09024387163129e-257
"3"	"magnitude"	0.000469393951492524	0.000331173921459622	1.41736387159867	0.156377348778247	"animal"	0.156377348778247
"4"	"Crime.and.Punishment"	0.0250656298190597	0.000270622157297656	92.6222378439255	0	"animal"	0
"5"	"Cultural.Identity"	-0.0142468880757384	0.000374686060757673	-38.0235337469694	8.69570753902486e-316	"animal"	8.69570753902486e-316
"6"	"Economic"	-0.0011885116577142	0.000296370440149655	-4.01022334452131	6.06723412034057e-05	"animal"	6.06723412034057e-05
"7"	"Fairness.and.Equality"	-0.0052395874927557	0.000374349593693785	-13.9965090947625	1.67731501120017e-44	"animal"	1.67731501120017e-44
"8"	"Health.and.Safety"	0.00736631862408801	0.000313708386241995	23.4814207944241	7.6411627916117e-122	"animal"	7.6411627916117e-122
"9"	"Legality..Constitutionality..Jurisdiction"	-0.00851522320888103	0.000356264539089212	-23.9014054855141	3.63338017362642e-126	"animal"	3.63338017362642e-126
"10"	"Morality.and.Ethics"	0.0257280868666466	0.000416199190765765	61.8167633130413	0	"animal"	0
"11"	"Policy.Prescription.and.Evaluation"	-0.0177767886201061	0.000278028854286362	-63.9386464607608	0	"animal"	0
"12"	"Political.Factors.and.Implications"	-0.000630516976807514	0.000258713627369967	-2.43712317444283	0.0148050682941092	"animal"	0.0148050682941092
"13"	"Security.and.Defense"	0.0238600089523241	0.000296845932241456	80.3784265196408	0	"animal"	0
"14"	"has_hashtag"	0.00171478079290079	0.00043391680101829	3.95186540110142	7.75576589762123e-05	"animal"	7.75576589762123e-05
"15"	"has_mention"	-0.00267900714472864	0.000374928271953203	-7.14538578478558	8.98955020208603e-13	"animal"	8.98955020208603e-13
"16"	"has_url"	-0.0132299986576897	0.00045689255980023	-28.95647647113	3.61098849552516e-184	"animal"	3.61098849552516e-184
"17"	"is_quote_status"	0.000449682001448672	0.000415418241086448	1.08248015367022	0.27903988192819	"animal"	0.27903988192819
"18"	"is_reply"	-0.00116789355567847	0.000397177081464609	-2.94048576864457	0.00327716808231016	"animal"	0.00327716808231016
"19"	"is_verified"	-0.00539381538909642	0.000749818807509633	-7.19349172770266	6.32648178226492e-13	"animal"	6.32648178226492e-13
"20"	"log_chars"	-0.0185226052394802	0.000370935850820726	-49.9347938423785	0	"animal"	0
