"term"	"estimate"	"std.error"	"statistic"	"p.value"	"concept"	"p.corrected"
"1"	"(Intercept)"	0.204588556522908	0.00188569285664099	108.495164417892	0	"animal"	0
"2"	"ideology"	0.0118110478784201	0.000260682627669015	45.3081510802341	0	"animal"	0
"3"	"magnitude"	0.00140236987625132	0.000342855744884102	4.09026215012196	4.30970107093993e-05	"animal"	4.30970107093993e-05
"4"	"has_hashtag"	0.00200437801255504	0.000449606922077187	4.45806751216107	8.27242947979595e-06	"animal"	8.27242947979595e-06
"5"	"has_mention"	-0.00419010011808126	0.000388482255524604	-10.7858211243728	4.0511000517931e-27	"animal"	4.0511000517931e-27
"6"	"has_url"	-0.011124862196779	0.000473535351008993	-23.4932031432807	5.79323766374709e-122	"animal"	5.79323766374709e-122
"7"	"is_quote_status"	0.000703593403123169	0.000429964606058375	1.63639842258933	0.101757015865007	"animal"	0.101757015865007
"8"	"is_reply"	-0.000929210995911338	0.000410609271997369	-2.26300539048054	0.0236358907085363	"animal"	0.0236358907085363
"9"	"is_verified"	-0.00850565794380316	0.000777667301134563	-10.9373994912657	7.70561670149943e-28	"animal"	7.70561670149943e-28
"10"	"log_chars"	-0.0174889950316303	0.000358888575825906	-48.7309884171797	0	"animal"	0
"11"	"log_followers"	-0.000451733498137992	0.000132968915145957	-3.39728648340204	0.000680643000204352	"animal"	0.000680643000204352
"12"	"log_following"	0.000336569373727689	0.00014695457742728	2.29029527096043	0.0220047236916231	"animal"	0.0220047236916231
"13"	"log_statuses"	0.00145257934846313	0.000105682357593814	13.7447666908232	5.59970839075562e-43	"animal"	5.59970839075562e-43
"14"	"ideology:magnitude"	0.00261080236895912	0.000366508858388373	7.12343592577664	1.05445370721113e-12	"animal"	1.05445370721113e-12
"15"	"year:month"	-2.60643172303474e-08	1.96924249427892e-08	-1.32357072864668	0.185646408404347	"animal"	0.185646408404347
"16"	"(Intercept)"	0.19954860262754	0.00216379358623891	92.2216443826297	0	"commodity"	0
"17"	"ideology"	0.00985147871251884	0.000299127928393861	32.9339983913084	1.49581067702514e-237	"commodity"	1.49581067702514e-237
"18"	"magnitude"	-0.00189733547714501	0.000393419882338043	-4.82267308370232	1.41698974365496e-06	"commodity"	1.41698974365496e-06
"19"	"has_hashtag"	-0.00582519030087706	0.000515914652215525	-11.2909960511134	1.46887094694939e-29	"commodity"	1.46887094694939e-29
"20"	"has_mention"	-0.00172698538344519	0.00044577536045246	-3.87411583648838	0.000107029538597545	"commodity"	0.000107029538597545
"21"	"has_url"	-0.0113136872693035	0.000543372029947573	-20.8212543998539	3.12588586555075e-96	"commodity"	3.12588586555075e-96
"22"	"is_quote_status"	-0.00109651148995158	0.000493375500481084	-2.22246846242342	0.0262522200560039	"commodity"	0.0262522200560039
"23"	"is_reply"	-0.000995760154389487	0.000471165654612908	-2.11339715584228	0.0345674067136562	"commodity"	0.0345674067136562
"24"	"is_verified"	-0.00426585001047783	0.000892357158005111	-4.78042897085541	1.74983573856557e-06	"commodity"	1.74983573856557e-06
"25"	"log_chars"	-0.0222797643719144	0.000411817224534546	-54.1010988481504	0	"commodity"	0
"26"	"log_followers"	-0.000473568876355395	0.000152579082403951	-3.10376015436787	0.00191091484097697	"commodity"	0.00191091484097697
"27"	"log_following"	0.00021845086655281	0.000168627340866115	1.29546528712833	0.195160516332999	"commodity"	0.195160516332999
"28"	"log_statuses"	0.00142341983833165	0.000121268321473861	11.7377714231698	8.25965465779832e-32	"commodity"	8.25965465779832e-32
"29"	"ideology:magnitude"	0.0033000353070528	0.000420561341306229	7.84673954292415	4.28038305569432e-15	"commodity"	4.28038305569432e-15
"30"	"year:month"	1.63026821553919e-08	2.2596650689233e-08	0.721464538245037	0.470624172950536	"commodity"	0.470624172950536
"31"	"(Intercept)"	0.155874528266763	0.00136346946945972	114.32197915552	0	"parasite"	0
"32"	"ideology"	0.00837268611570229	0.000188489235027583	44.419969737142	0	"parasite"	0
"33"	"magnitude"	0.00205531358882764	0.000247905346266763	8.29071909815123	1.12908336242706e-16	"parasite"	1.12908336242706e-16
"34"	"has_hashtag"	0.00640838139835643	0.000325092874669946	19.7124634148399	1.85319458067518e-86	"parasite"	1.85319458067518e-86
"35"	"has_mention"	-0.00396751474758203	0.000280896060548366	-14.124494091646	2.75144544685186e-45	"parasite"	2.75144544685186e-45
"36"	"has_url"	-0.012418662679158	0.00034239456947446	-36.2700340084815	1.41570134003915e-287	"parasite"	1.41570134003915e-287
"37"	"is_quote_status"	0.00613499068566703	0.000310890297560524	19.7336190090418	1.22017897077353e-86	"parasite"	1.22017897077353e-86
"38"	"is_reply"	0.00575270057082249	0.000296895225685253	19.3761976385605	1.33920313350157e-83	"parasite"	1.33920313350157e-83
"39"	"is_verified"	-0.0101301996120618	0.000562300280642146	-18.0156403274299	1.56925238733828e-72	"parasite"	1.56925238733828e-72
"40"	"log_chars"	-0.0160041545755102	0.000259498048345031	-61.6735065160524	0	"parasite"	0
"41"	"log_followers"	7.57187198813272e-05	9.61445314650251e-05	0.787550979005724	0.430959864800138	"parasite"	0.430959864800138
"42"	"log_following"	0.000215695946764376	0.000106257007345496	2.02994562102655	0.0423627275662315	"parasite"	0.0423627275662315
"43"	"log_statuses"	0.000520796799424077	7.64147074812431e-05	6.81540002691121	9.41340810046978e-12	"parasite"	9.41340810046978e-12
"44"	"ideology:magnitude"	0.00144493839445718	0.000265007971440932	5.4524337007698	4.97143742394014e-08	"parasite"	4.97143742394014e-08
"45"	"year:month"	1.84765446411137e-07	1.42388088784239e-08	12.9761869822632	1.7000956290477e-38	"parasite"	1.7000956290477e-38
"46"	"(Intercept)"	0.116188883209571	0.00170104595500963	68.3043764146357	0	"pressure"	0
"47"	"ideology"	0.0133485755467332	0.000235156604521244	56.7646210656493	0	"pressure"	0
"48"	"magnitude"	-0.000770310817889843	0.000309283336325409	-2.49063149357445	0.0127520324579067	"pressure"	0.0127520324579067
"49"	"has_hashtag"	0.00811092764776385	0.000405581446336962	19.9982709293491	6.30367432062138e-89	"pressure"	6.30367432062138e-89
"50"	"has_mention"	-0.00390720232253728	0.000350442102501404	-11.1493519033479	7.28409473116821e-29	"pressure"	7.28409473116821e-29
"51"	"has_url"	-0.00805492361213433	0.000427166805320975	-18.8566234824399	2.80686701906735e-79	"pressure"	2.80686701906735e-79
"52"	"is_quote_status"	-0.000285626273332157	0.00038786250441429	-0.736411151068806	0.461480952331333	"pressure"	0.461480952331333
"53"	"is_reply"	-0.00204343160604348	0.000370402443197861	-5.51678760107941	3.45465182005578e-08	"pressure"	3.45465182005578e-08
"54"	"is_verified"	-0.00662434007473993	0.00070151817793626	-9.44286304059511	3.64577247617644e-21	"pressure"	3.64577247617644e-21
"55"	"log_chars"	-0.00594131688182443	0.000323746233676301	-18.3517714302273	3.43128196124132e-75	"pressure"	3.43128196124132e-75
"56"	"log_followers"	-0.000201897968538105	0.000119948609050764	-1.68320391654277	0.0923364033018725	"pressure"	0.0923364033018725
"57"	"log_following"	-0.000235565344277869	0.000132564796341283	-1.77698265889094	0.0755718528110277	"pressure"	0.0755718528110277
"58"	"log_statuses"	0.0011702420479255	9.53339491464519e-05	12.2751869444512	1.2488957582028e-34	"pressure"	1.2488957582028e-34
"59"	"ideology:magnitude"	0.00381553287068416	0.000330620338747689	11.5405267719962	8.33513835028826e-31	"pressure"	8.33513835028826e-31
"60"	"year:month"	-2.16108125004434e-07	1.77641441846114e-08	-12.1654115592938	4.81680297966042e-34	"pressure"	4.81680297966042e-34
"61"	"(Intercept)"	0.15349204007034	0.00131894712408834	116.374672848568	0	"vermin"	0
"62"	"ideology"	0.0084459356494811	0.00018233436100315	46.3211410236339	0	"vermin"	0
"63"	"magnitude"	0.00110405722204046	0.000239810315396527	4.60387711101958	4.1482448532006e-06	"vermin"	4.1482448532006e-06
"64"	"has_hashtag"	0.0115146228732348	0.000314477384137866	36.6151063765744	5.05311285609714e-293	"vermin"	5.05311285609714e-293
"65"	"has_mention"	-0.0021856645486968	0.000271723760250253	-8.04370050923718	8.74007596530034e-16	"vermin"	8.74007596530034e-16
"66"	"has_url"	-0.0121534697014706	0.00033121411430705	-36.6936950343962	2.8561635267035e-294	"vermin"	2.8561635267035e-294
"67"	"is_quote_status"	0.00294787992226628	0.000300738573953478	9.80213440369073	1.10882376983982e-22	"vermin"	1.10882376983982e-22
"68"	"is_reply"	0.000549754552732098	0.000287200493186175	1.91418387424469	0.0555973782233076	"vermin"	0.0555973782233076
"69"	"is_verified"	-0.00862673353544633	0.000543939086748238	-15.8597419189315	1.25280786540474e-56	"vermin"	1.25280786540474e-56
"70"	"log_chars"	-0.0149847517478983	0.00025102447266886	-59.6943859241387	0	"vermin"	0
"71"	"log_followers"	-0.000175042228419051	9.30050552014668e-05	-1.88207219532182	0.059826939327445	"vermin"	0.059826939327445
