"term"	"estimate"	"std.error"	"statistic"	"p.value"	"outcome"	"p.corrected"
"1"	"(Intercept)"	-0.798694906681843	0.0209052972894682	-38.2053838136143	8.66956751383469e-319	"log_favorites"	8.66956751383469e-319
"2"	"score_animal"	-0.00518783431421698	0.00316957278179452	-1.63676137806805	0.101681125320536	"log_favorites"	0.305043375961608
"3"	"score_commodity"	-0.0152893629454901	0.00288521213425037	-5.29921622191659	1.16362205760588e-07	"log_favorites"	1.51270867488765e-06
"4"	"score_parasite"	0.0381820161238952	0.00398869389492464	9.57256112645782	1.04850247505574e-21	"log_favorites"	1.46790346507804e-20
"5"	"score_pressure"	-0.00748493430944037	0.00320428067920545	-2.33591718666056	0.0194960494507398	"log_favorites"	0.115465237654338
"6"	"score_vermin"	-0.00474578960436222	0.00385650229713151	-1.23059426358754	0.218475375485225	"log_favorites"	0.436950750970451
"7"	"score_war"	-0.0145187442732856	0.00294440733985255	-4.93095641923399	8.18606808616037e-07	"log_favorites"	9.82328170339244e-06
"8"	"score_water"	-0.0104288034557535	0.00331084359089024	-3.14989312223878	0.0016334222282096	"log_favorites"	0.0114339555974672
"9"	"has_hashtag"	-0.047544235178168	0.00495847145248518	-9.58848621672287	8.98705187548376e-22	"log_favorites"	8.98705187548376e-22
"10"	"has_mention"	-0.11625533193658	0.00427502457227742	-27.1940733839215	1.07483194658512e-162	"log_favorites"	1.07483194658512e-162
"11"	"has_url"	-0.307058307096003	0.00521669726449211	-58.8606720934375	0	"log_favorites"	0
"12"	"is_quote_status"	-0.0107325675075544	0.00473198650460891	-2.26808920462917	0.0233243010081027	"log_favorites"	0.0233243010081027
"13"	"is_reply"	0.0481155432549135	0.00453189250927376	10.6170971964699	2.50171678258469e-26	"log_favorites"	2.50171678258469e-26
"14"	"is_verified"	0.702145564675805	0.00854963534913545	82.1257908674206	0	"log_favorites"	0
"15"	"log_chars"	0.348405818547817	0.00397864764185662	87.5689052939693	0	"log_favorites"	0
"16"	"log_followers"	0.315524243212487	0.00146392409250393	215.533199315551	0	"log_favorites"	0
"17"	"log_following"	-0.120211207890915	0.00161573534545486	-74.4003083358144	0	"log_favorites"	0
"18"	"log_statuses"	-0.145894907255074	0.0011649861186431	-125.233172241574	0	"log_favorites"	0
"19"	"ideology"	-0.165854695606153	0.00289326573887396	-57.3243906972412	0	"log_favorites"	0
"20"	"magnitude"	0.0777921432396295	0.00377140711518414	20.6268219960738	1.76646927069005e-94	"log_favorites"	1.76646927069005e-94
"21"	"year:month"	6.27983071729323e-07	2.16739490705703e-07	2.89740955690453	0.0037627861742484	"log_favorites"	0.0037627861742484
"22"	"score_animal:ideology"	0.00351867010617706	0.0039128256796409	0.899265746615112	0.368511669161576	"log_favorites"	0.368511669161576
"23"	"score_commodity:ideology"	0.0100300952795106	0.00341187648738396	2.93975919603149	0.00328486194267172	"log_favorites"	0.00328486194267172
"24"	"score_parasite:ideology"	-0.0343806981394355	0.00462014446567074	-7.44147686179423	9.97636765131277e-14	"log_favorites"	9.97636765131277e-14
"25"	"score_pressure:ideology"	0.00604450691840455	0.00369578502889897	1.63551366519965	0.101942199275089	"log_favorites"	0.101942199275089
"26"	"score_vermin:ideology"	0.00534356560071616	0.00471229761886026	1.13396182349123	0.256811241795723	"log_favorites"	0.256811241795723
"27"	"score_war:ideology"	0.0125697467582633	0.00346816880371207	3.62431803919395	0.000289760806198848	"log_favorites"	0.000289760806198848
"28"	"score_water:ideology"	0.0181944542060042	0.00378289078841829	4.80966943632324	1.51234977167445e-06	"log_favorites"	1.51234977167445e-06
"29"	"ideology:magnitude"	-0.0933047807161309	0.00403386186716548	-23.1303856672947	2.74091903998941e-118	"log_favorites"	2.74091903998941e-118
"30"	"(Intercept)"	-0.855695703641881	0.0167982038196018	-50.9397143189422	0	"log_retweets"	0
"31"	"score_animal"	0.0101104200707718	0.00254687263579217	3.96973917293162	7.19639085232179e-05	"log_retweets"	0.000647675176708961
"32"	"score_commodity"	-0.00542680320641656	0.0023183780083502	-2.34077582985631	0.019244206275723	"log_retweets"	0.115465237654338
"33"	"score_parasite"	0.0156970933780165	0.00320506769615281	4.89758559448166	9.70591366627426e-07	"log_retweets"	1.06765050329017e-05
"34"	"score_pressure"	0.00558037998572056	0.00257476175531941	2.16733838546094	0.0302096497140853	"log_retweets"	0.120838598856341
"35"	"score_vermin"	0.0121757764022618	0.00309884670478301	3.92913156480723	8.52675006433885e-05	"log_retweets"	0.000682140005147108
"36"	"score_war"	0.000294604373425296	0.002365943614095	0.124518763536968	0.900904607416111	"log_retweets"	0.900904607416111
"37"	"score_water"	-0.0122185139108118	0.00266038911977661	-4.59275442828371	4.37566704534077e-06	"log_retweets"	4.37566704534077e-05
"38"	"has_hashtag"	-0.0192084360061897	0.00398432095651112	-4.82100619298742	1.42888242006493e-06	"log_retweets"	1.42888242006493e-06
"39"	"has_mention"	-0.0938277717781087	0.00343514531769422	-27.3140618811111	4.09120286201906e-164	"log_retweets"	4.09120286201906e-164
"40"	"has_url"	-0.162993032484816	0.00419181524666694	-38.8836394004762	0	"log_retweets"	0
"41"	"is_quote_status"	-0.0713144804034084	0.00380233166146224	-18.755460268288	1.88821142222434e-78	"log_retweets"	1.88821142222434e-78
"42"	"is_reply"	-0.13668432422832	0.00364154850348191	-37.5346707856911	8.65527607227117e-308	"log_retweets"	8.65527607227117e-308
"43"	"is_verified"	0.608843041180696	0.00686995813498443	88.6239812845783	0	"log_retweets"	0
"44"	"log_chars"	0.259472830610098	0.00319699514859116	81.1614714912662	0	"log_retweets"	0
"45"	"log_followers"	0.242355318334767	0.00117631885075824	206.028593504683	0	"log_retweets"	0
"46"	"log_following"	-0.0870056422794351	0.00129830498345312	-67.0147949736935	0	"log_retweets"	0
"47"	"log_statuses"	-0.0990235065592757	0.000936110785558292	-105.781824210281	0	"log_retweets"	0
"48"	"ideology"	-0.0290681119370092	0.00232484938687576	-12.5032236931582	7.28016183843194e-36	"log_retweets"	7.28016183843194e-36
"49"	"magnitude"	0.0224232053610906	0.00303046948007173	7.39925133994745	1.37220539548788e-13	"log_retweets"	1.37220539548788e-13
"50"	"year:month"	-1.89418780120503e-08	1.74158448464892e-07	-0.108762326370108	0.913391060261077	"log_retweets"	0.913391060261077
"51"	"score_animal:ideology"	-0.00880876147958402	0.00314410469112501	-2.8016756262757	0.00508404030977729	"log_retweets"	0.00508404030977729
