"term"	"estimate"	"std.error"	"statistic"	"p.value"	"s.value"	"conf.low"	"conf.high"	"outcome"	"p.corrected"
"1"	"score_animal"	-0.00258984033799125	0.00189630630952391	-1.36572890412491	0.172024068607208	2.53931766233801	-0.00630653240831418	0.00112685173233168	"log_favorites"	1
"2"	"score_commodity"	-0.010086357372465	0.00164333050775856	-6.13775337635664	8.36966617517053e-10	30.1541108669618	-0.0133072259823676	-0.00686548876256226	"log_favorites"	1.14801636930519e-08
"3"	"score_parasite"	0.0132977637186727	0.00216540524197082	6.14100467705982	8.20011692360849e-10	30.1836364679347	0.00905364743247561	0.0175418800048697	"log_favorites"	1.14801636930519e-08
"4"	"score_pressure"	-0.00198903845006675	0.0017203567880168	-1.15617787189347	0.247608408985709	2.01386778439019	-0.00536087579513868	0.00138279889500518	"log_favorites"	1
"5"	"score_vermin"	0.000170168678499173	0.00227301565756941	0.0748647190055602	0.940322347905902	0.0887726891552612	-0.0042848601466325	0.00462519750363085	"log_favorites"	1
"6"	"score_war"	-0.00527737005741245	0.00166875031803869	-3.16246834554317	0.00156437742264406	9.32019566454385	-0.00854806057995804	-0.00200667953486686	"log_favorites"	0.0156437742264406
"7"	"score_water"	0.00313298426373387	0.00173963454661395	1.80094392229216	0.0717117191662392	3.80164728561113	-0.000276636793891142	0.00654260532135889	"log_favorites"	0.573693753329914
"8"	"score_animal"	0.00187826254522962	0.00152346072407976	1.23289200406803	0.217616059046651	2.20014307022886	-0.00110766560582802	0.00486419069628727	"log_retweets"	1
"9"	"score_commodity"	-0.00265316112793215	0.00132022555857852	-2.00962715097622	0.0444706654132777	4.49100219791971	-0.00524075567421534	-6.55665816489716e-05	"log_retweets"	0.4002359887195
"10"	"score_parasite"	0.00635920430394977	0.00173964484097509	3.65546124942685	0.000256719985954952	11.9275167637464	0.00294956306974769	0.00976884553815186	"log_retweets"	0.00282391984550447
"11"	"score_pressure"	0.00183797757661009	0.00138209740037034	1.32984663462763	0.183568807189827	2.44560716432614	-0.000870883551242214	0.0045468387044624	"log_retweets"	1
"12"	"score_vermin"	0.00977403747107039	0.00182610178447809	5.35240562938493	8.67925699771426e-08	23.4578532154607	0.00619494374138901	0.0133531312007518	"log_retweets"	1.04151083972571e-06
"13"	"score_war"	0.00123242857800608	0.00134064386150078	0.919281110664575	0.357948555325274	1.48217583787341	-0.00139518510663015	0.00386004226264231	"log_retweets"	1
"14"	"score_water"	0.000320429006244988	0.00139759351627409	0.229271961062923	0.818657544910475	0.288668014914209	-0.00241880395067893	0.00305966196316891	"log_retweets"	1
