"term"	"estimate"	"std.error"	"statistic"	"p.value"	"outcome"	"p.corrected"
"1"	"(Intercept)"	-0.764491358439044	0.0215812751411308	-35.4238270648815	1.96273983073004e-274	"log_favorites"	1.96273983073004e-274
"2"	"score_animal"	-0.00565413126184572	0.00319633969242235	-1.76893941380827	0.0769047478283991	"log_favorites"	0.461428486970395
"3"	"score_commodity"	-0.0149523251964502	0.00292789819051653	-5.10684601154535	3.27730306166433e-07	"log_favorites"	4.26049398016362e-06
"4"	"score_parasite"	0.0322412866853865	0.0040221664220444	8.01590071178575	1.09624031198142e-15	"log_favorites"	1.53473643677398e-14
"5"	"score_pressure"	-0.00497554857816125	0.00323131936923247	-1.53978855372104	0.1236126940175	"log_favorites"	0.540611057816451
"6"	"score_vermin"	-0.00327335986234299	0.00387222661511764	-0.845343051350195	0.39791983639786	"log_favorites"	0.807892350645257
"7"	"score_war"	-0.0137062862543518	0.00296891559463504	-4.61659680696872	3.90205085766581e-06	"log_favorites"	4.68246102919897e-05
"8"	"score_water"	-0.00632323423241394	0.00332665617561847	-1.90077780768503	0.0573318402330333	"log_favorites"	0.401322881631233
"9"	"has_hashtag"	-0.0480522683499601	0.00496343963351119	-9.68124363305038	3.64318812559089e-22	"log_favorites"	3.64318812559089e-22
"10"	"has_mention"	-0.115016375942765	0.00427841297009683	-26.8829532695069	4.81987681344345e-159	"log_favorites"	4.81987681344345e-159
"11"	"has_url"	-0.303531761113475	0.00522376405305579	-58.1059477477578	0	"log_favorites"	0
"12"	"is_quote_status"	-0.0155386558287405	0.00474194362520937	-3.27685376648788	0.00104979658144201	"log_favorites"	0.00104979658144201
"13"	"is_reply"	0.0451014207492021	0.00454569311875662	9.92179180840492	3.36767426729717e-23	"log_favorites"	3.36767426729717e-23
"14"	"is_verified"	0.703338087837359	0.00854878361994824	82.2734694320895	0	"log_favorites"	0
"15"	"log_chars"	0.337876048832062	0.00426384378974465	79.2421264692476	0	"log_favorites"	0
"16"	"log_followers"	0.315585839683704	0.0014646112010305	215.474140482919	0	"log_favorites"	0
"17"	"log_following"	-0.120556423616521	0.00161546487612646	-74.6264591685765	0	"log_favorites"	0
"18"	"log_statuses"	-0.145727030572791	0.00116732205009783	-124.838754275719	0	"log_favorites"	0
"19"	"Crime.and.Punishment"	-0.00346399952212584	0.00314493605174843	-1.10145308684417	0.270700174401633	"log_favorites"	0.270700174401633
"20"	"Cultural.Identity"	0.028808068720872	0.00429118800395782	6.71330845777484	1.90512642775329e-11	"log_favorites"	1.90512642775329e-11
"21"	"Economic"	0.0130441679277027	0.00347976782736214	3.74857420806459	0.00017786772393721	"log_favorites"	0.00017786772393721
"22"	"Fairness.and.Equality"	0.0478025579492052	0.00429821857978478	11.1214813909252	9.95834210218564e-29	"log_favorites"	9.95834210218564e-29
"23"	"Health.and.Safety"	-0.0123863985689046	0.00363528332940098	-3.40727185381328	0.000656221945816152	"log_favorites"	0.000656221945816152
"24"	"Legality..Constitutionality..Jurisdiction"	0.00263206905052437	0.00407391294369549	0.646078864939316	0.518228652791673	"log_favorites"	0.518228652791673
"25"	"Morality.and.Ethics"	0.0624903485777157	0.00479424259412514	13.034456924289	7.93548559377162e-39	"log_favorites"	7.93548559377162e-39
"26"	"Policy.Prescription.and.Evaluation"	-0.00229971117331138	0.00324323205345686	-0.709080058227775	0.478275210571874	"log_favorites"	0.478275210571874
"27"	"Political.Factors.and.Implications"	0.00203787067144779	0.00297099005441078	0.685923087632804	0.492762007929116	"log_favorites"	0.492762007929116
"28"	"Security.and.Defense"	-0.0165026939975932	0.00357305854929667	-4.6186463977316	3.86371425329129e-06	"log_favorites"	3.86371425329129e-06
"29"	"ideology"	-0.152677251246027	0.00300073086207518	-50.8800216559379	0	"log_favorites"	0
"30"	"magnitude"	0.0736527184726221	0.00377707902454601	19.4999146149649	1.20417160963151e-84	"log_favorites"	1.20417160963151e-84
