model1	model2	auc1	auc2	sig
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	0.6128216911764706	0.5	True
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score	0.6128216911764706	0.6056410845588236	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_description_score	0.6128216911764706	0.5993795955882353	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_baseline_score	0.6128216911764706	0.6101217830882353	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_score	0.6128216911764706	0.5473345588235294	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	0.6128216911764706	0.7459788602941175	True
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	0.6128216911764706	0.6973805147058824	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	0.6128216911764706	0.6708409926470589	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	0.6128216911764706	0.7271369485294117	True
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	0.6128216911764706	0.7401194852941176	True
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_score_sbert	0.6128216911764706	0.7045036764705882	False
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score	0.5	0.6056410845588236	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_description_score	0.5	0.5993795955882353	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_baseline_score	0.5	0.6101217830882353	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_description_score	0.5	0.5473345588235294	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	0.5	0.7459788602941175	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	0.5	0.6973805147058824	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	0.5	0.6708409926470589	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	0.5	0.7271369485294117	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	0.5	0.7401194852941176	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_description_score_sbert	0.5	0.7045036764705882	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_description_score	0.6056410845588236	0.5993795955882353	False
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_baseline_score	0.6056410845588236	0.6101217830882353	False
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_score	0.6056410845588236	0.5473345588235294	False
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	0.6056410845588236	0.7459788602941175	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	0.6056410845588236	0.6973805147058824	False
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	0.6056410845588236	0.6708409926470589	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	0.6056410845588236	0.7271369485294117	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	0.6056410845588236	0.7401194852941176	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_score_sbert	0.6056410845588236	0.7045036764705882	True
gpt-4-turbo-2024-04-09_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_baseline_score	0.5993795955882353	0.6101217830882353	False
gpt-4-turbo-2024-04-09_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_description_score	0.5993795955882353	0.5473345588235294	True
gpt-4-turbo-2024-04-09_zeroshot_description_score	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	0.5993795955882353	0.7459788602941175	True
gpt-4-turbo-2024-04-09_zeroshot_description_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	0.5993795955882353	0.6973805147058824	True
gpt-4-turbo-2024-04-09_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	0.5993795955882353	0.6708409926470589	False
gpt-4-turbo-2024-04-09_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	0.5993795955882353	0.7271369485294117	True
gpt-4-turbo-2024-04-09_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	0.5993795955882353	0.7401194852941176	True
gpt-4-turbo-2024-04-09_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_description_score_sbert	0.5993795955882353	0.7045036764705882	True
gpt-4o-2024-08-06_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_score	0.6101217830882353	0.5473345588235294	True
