model1	model2	auc1	auc2	sig
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	0.698939393939394	0.5	True
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score	0.698939393939394	0.6976767676767677	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_description_score	0.698939393939394	0.6487878787878787	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_baseline_score	0.698939393939394	0.7136868686868687	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_score	0.698939393939394	0.661060606060606	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	0.698939393939394	0.7751515151515151	True
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	0.698939393939394	0.6622222222222223	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	0.698939393939394	0.7597979797979799	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	0.698939393939394	0.7119191919191918	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	0.698939393939394	0.7671717171717173	True
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_score_sbert	0.698939393939394	0.7232323232323233	False
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score	0.5	0.6976767676767677	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_description_score	0.5	0.6487878787878787	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_baseline_score	0.5	0.7136868686868687	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_description_score	0.5	0.661060606060606	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	0.5	0.7751515151515151	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	0.5	0.6622222222222223	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	0.5	0.7597979797979799	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	0.5	0.7119191919191918	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	0.5	0.7671717171717173	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_description_score_sbert	0.5	0.7232323232323233	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_description_score	0.6976767676767677	0.6487878787878787	False
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_baseline_score	0.6976767676767677	0.7136868686868687	False
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_score	0.6976767676767677	0.661060606060606	False
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	0.6976767676767677	0.7751515151515151	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	0.6976767676767677	0.6622222222222223	False
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	0.6976767676767677	0.7597979797979799	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	0.6976767676767677	0.7119191919191918	False
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	0.6976767676767677	0.7671717171717173	False
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_score_sbert	0.6976767676767677	0.7232323232323233	False
gpt-4-turbo-2024-04-09_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_baseline_score	0.6487878787878787	0.7136868686868687	True
gpt-4-turbo-2024-04-09_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_description_score	0.6487878787878787	0.661060606060606	False
gpt-4-turbo-2024-04-09_zeroshot_description_score	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	0.6487878787878787	0.7751515151515151	True
gpt-4-turbo-2024-04-09_zeroshot_description_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	0.6487878787878787	0.6622222222222223	False
gpt-4-turbo-2024-04-09_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	0.6487878787878787	0.7597979797979799	True
gpt-4-turbo-2024-04-09_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	0.6487878787878787	0.7119191919191918	True
gpt-4-turbo-2024-04-09_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	0.6487878787878787	0.7671717171717173	True
gpt-4-turbo-2024-04-09_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_description_score_sbert	0.6487878787878787	0.7232323232323233	True
gpt-4o-2024-08-06_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_score	0.7136868686868687	0.661060606060606	False
