model	concept	roc_auc
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	war	0.7073737373737374
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	war	0.698939393939394
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	war	0.5
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	war	0.5
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	war	0.7238888888888889
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	war	0.6976767676767677
gpt-4-turbo-2024-04-09_zeroshot_description_count	war	0.6528787878787877
gpt-4-turbo-2024-04-09_zeroshot_description_score	war	0.6487878787878787
gpt-4o-2024-08-06_zeroshot_baseline_count	war	0.7133333333333333
gpt-4o-2024-08-06_zeroshot_baseline_score	war	0.7136868686868687
gpt-4o-2024-08-06_zeroshot_description_count	war	0.6668686868686868
gpt-4o-2024-08-06_zeroshot_description_score	war	0.661060606060606
baseline_sbert-carrier	war	0.6622222222222223
baseline_count	war	0.6802525252525253
baseline_gpt4-turbo	war	0.6561616161616162
baseline_gpt4-turbo_sbert-carrier	war	0.7290909090909091
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	war	0.7751515151515151
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	war	0.6622222222222223
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	war	0.7597979797979799
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	war	0.7119191919191918
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	war	0.7671717171717173
gpt-4o-2024-08-06_zeroshot_description_score_sbert	war	0.7232323232323233
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	animal	0.7141386057048709
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	animal	0.7093502213984142
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	animal	0.5035011842240759
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	animal	0.5037071362372567
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	animal	0.6819586036453507
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	animal	0.6578107300998868
gpt-4-turbo-2024-04-09_zeroshot_description_count	animal	0.7455977757182577
gpt-4-turbo-2024-04-09_zeroshot_description_score	animal	0.7466275357841623
gpt-4o-2024-08-06_zeroshot_baseline_count	animal	0.7414272474513439
gpt-4o-2024-08-06_zeroshot_baseline_score	animal	0.7307177427659356
gpt-4o-2024-08-06_zeroshot_description_count	animal	0.6823190196684172
gpt-4o-2024-08-06_zeroshot_description_score	animal	0.6819071156420554
baseline_sbert-carrier	animal	0.7376171352074966
baseline_count	animal	0.6745443311708372
baseline_gpt4-turbo	animal	0.6506538976418494
baseline_gpt4-turbo_sbert-carrier	animal	0.7515188960972093
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	animal	0.7857069302852435
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	animal	0.7251570384100504
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	animal	0.7356605910822778
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	animal	0.8441973020286273
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	animal	0.8059932035835651
gpt-4o-2024-08-06_zeroshot_description_score_sbert	animal	0.8117598599526311
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	commodity	0.5743321718931474
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	commodity	0.5807200929152148
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	commodity	0.533365008974765
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	commodity	0.5338929363319607
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	commodity	0.5424981522542499
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	commodity	0.5752296484003802
gpt-4-turbo-2024-04-09_zeroshot_description_count	commodity	0.68445781860416
gpt-4-turbo-2024-04-09_zeroshot_description_score	commodity	0.6914264597191426
gpt-4o-2024-08-06_zeroshot_baseline_count	commodity	0.5976665610811952
gpt-4o-2024-08-06_zeroshot_baseline_score	commodity	0.6129236617041496
gpt-4o-2024-08-06_zeroshot_description_count	commodity	0.6522014570795059
gpt-4o-2024-08-06_zeroshot_description_score	commodity	0.6554218139583994
baseline_sbert-carrier	commodity	0.5893781015732236
baseline_count	commodity	0.5653046140851019
baseline_gpt4-turbo	commodity	0.6091225847323409
baseline_gpt4-turbo_sbert-carrier	commodity	0.6357301235350016
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	commodity	0.6194699609333756
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	commodity	0.613240418118467
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	commodity	0.5976137683454756
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	commodity	0.7124907612712491
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	commodity	0.6415373244641537
gpt-4o-2024-08-06_zeroshot_description_score_sbert	commodity	0.672685038538697
