model	concept	roc_auc	threshold
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	all_documents	0.6471021214810034	0.1
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	all_documents	0.6533536339436959	0.1
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	all_documents	0.5075651943442538	0.1
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	all_documents	0.5075781583101903	0.1
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	all_documents	0.6760751449083303	0.1
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	all_documents	0.6882108574655158	0.1
gpt-4-turbo-2024-04-09_zeroshot_description_count	all_documents	0.6473916500535843	0.1
gpt-4-turbo-2024-04-09_zeroshot_description_score	all_documents	0.648088823332834	0.1
gpt-4o-2024-08-06_zeroshot_baseline_count	all_documents	0.6530929141843073	0.1
gpt-4o-2024-08-06_zeroshot_baseline_score	all_documents	0.6609231496099287	0.1
gpt-4o-2024-08-06_zeroshot_description_count	all_documents	0.6254955115869046	0.1
gpt-4o-2024-08-06_zeroshot_description_score	all_documents	0.6257893614814644	0.1
baseline_sbert-carrier	all_documents	0.6081857361804124	0.1
baseline_count	all_documents	0.6793146959517855	0.1
baseline_gpt4-turbo	all_documents	0.6890794431832585	0.1
baseline_gpt4-turbo_sbert-carrier	all_documents	0.7155907535233179	0.1
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	all_documents	0.6837598958273315	0.1
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	all_documents	0.614762788232176	0.1
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	all_documents	0.7136173498196569	0.1
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	all_documents	0.6950010947349012	0.1
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	all_documents	0.6884730176655642	0.1
gpt-4o-2024-08-06_zeroshot_description_score_sbert	all_documents	0.6774392422129778	0.1
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	all_documents	0.6497234810661342	0.2
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	all_documents	0.6569863703476116	0.2
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	all_documents	0.5088055064819794	0.2
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	all_documents	0.5088119073832263	0.2
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	all_documents	0.6561627877205111	0.2
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	all_documents	0.6604119193315753	0.2
gpt-4-turbo-2024-04-09_zeroshot_description_count	all_documents	0.6712497119594438	0.2
