model	concept	roc_auc	threshold
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	overall	0.6583333333333334	0.1
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	overall	0.6521568627450981	0.1
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	overall	0.6386274509803921	0.1
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	overall	0.6412745098039214	0.1
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	overall	0.7302941176470589	0.1
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	overall	0.7161764705882354	0.1
gpt-4-turbo-2024-04-09_zeroshot_description_count	overall	0.655686274509804	0.1
gpt-4-turbo-2024-04-09_zeroshot_description_score	overall	0.6510784313725491	0.1
gpt-4o-2024-08-06_zeroshot_baseline_count	overall	0.6645098039215687	0.1
gpt-4o-2024-08-06_zeroshot_baseline_score	overall	0.6381372549019608	0.1
gpt-4o-2024-08-06_zeroshot_description_count	overall	0.6123529411764705	0.1
gpt-4o-2024-08-06_zeroshot_description_score	overall	0.6127450980392157	0.1
baseline_gpt4-turbo	overall	0.6784313725490196	0.1
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	overall	0.7040615957007027	0.2
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	overall	0.7071620504340635	0.2
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	overall	0.6752790409260024	0.2
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	overall	0.6665977676725919	0.2
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	overall	0.7154816039685821	0.2
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	overall	0.6975506407606449	0.2
gpt-4-turbo-2024-04-09_zeroshot_description_count	overall	0.6689747829681686	0.2
gpt-4-turbo-2024-04-09_zeroshot_description_score	overall	0.6577097974369573	0.2
gpt-4o-2024-08-06_zeroshot_baseline_count	overall	0.5754443985117818	0.2
gpt-4o-2024-08-06_zeroshot_baseline_score	overall	0.552242662257131	0.2
gpt-4o-2024-08-06_zeroshot_description_count	overall	0.6411740388590327	0.2
gpt-4o-2024-08-06_zeroshot_description_score	overall	0.6409673418768086	0.2
baseline_gpt4-turbo	overall	0.677552707730467	0.2
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	overall	0.6987590275658632	0.30000000000000004
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	overall	0.6906723629335775	0.30000000000000004
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	overall	0.6692096429661275	0.30000000000000004
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	overall	0.6514596683958905	0.30000000000000004
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	overall	0.7241887905604719	0.30000000000000004
