model1	model2	concept	r1	r2	z	p
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	war	0.47501561087018845	0.4709860166865463	0.0515190830399615	0.9589118959758094
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	war	0.47501561087018845			
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	war	0.47501561087018845			
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	gpt-4-turbo-2024-04-09_zeroshot_baseline_count	war	0.47501561087018845	0.49144298733614816	-0.21272004640823242	0.8315453298269855
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	gpt-4-turbo-2024-04-09_zeroshot_baseline_score	war	0.47501561087018845	0.4447841081813027	0.3805988602373781	0.7035009271549437
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	gpt-4-turbo-2024-04-09_zeroshot_description_count	war	0.47501561087018845	0.44492987989397503	0.37879517132219703	0.7048399733750945
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	gpt-4-turbo-2024-04-09_zeroshot_description_score	war	0.47501561087018845	0.4362472462956312	0.48572649278188496	0.627161097462599
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	gpt-4o-2024-08-06_zeroshot_baseline_count	war	0.47501561087018845	0.4862484035777306	-0.14497616882969422	0.8847296875023423
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	gpt-4o-2024-08-06_zeroshot_baseline_score	war	0.47501561087018845	0.4824375094497758	-0.09556202020368935	0.92386843058808
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	gpt-4o-2024-08-06_zeroshot_description_count	war	0.47501561087018845	0.46680655418410977	0.1046894675256039	0.916622219731456
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	gpt-4o-2024-08-06_zeroshot_description_score	war	0.47501561087018845	0.4555432365249933	0.2466758052436639	0.8051591326421368
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	baseline_sbert-carrier	war	0.47501561087018845	0.3667869887758438	1.3082969900296177	0.19077259567262494
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	baseline_count	war	0.47501561087018845	0.4479671629533972	0.34114705789681093	0.7329928766903075
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	baseline_gpt4-turbo	war	0.47501561087018845	0.3719340213598322	1.24914383939318	0.21161246861348415
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	baseline_gpt4-turbo_sbert-carrier	war	0.47501561087018845	0.49216240866084027	-0.22213802578170425	0.8242064369639734
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	war	0.47501561087018845	0.5608260774043522	-1.1662517531421714	0.2435126736941462
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	war	0.47501561087018845	0.3667869887758438	1.3082969900296177	0.19077259567262494
