model1	model2	concept	r1	r2	z	p
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	overall	0.4262426049818597	0.411507136730496	0.17737236114525382	0.8592159156950232
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	overall	0.4262426049818597	0.42812813358202345	-0.02289059336115091	0.9817375438415046
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	overall	0.4262426049818597	0.39728873345469135	0.3460813236488296	0.7292815987535439
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	gpt-4-turbo-2024-04-09_zeroshot_baseline_count	overall	0.4262426049818597	0.43108204569010666	-0.058842729101608524	0.9530773745007597
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	gpt-4-turbo-2024-04-09_zeroshot_baseline_score	overall	0.4262426049818597	0.36634790988980537	0.7056246038074991	0.4804216194835287
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	gpt-4-turbo-2024-04-09_zeroshot_description_count	overall	0.4262426049818597	0.359421562060993	0.7847923875877738	0.43257530408412626
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	gpt-4-turbo-2024-04-09_zeroshot_description_score	overall	0.4262426049818597	0.32061959714693455	1.2203281659244456	0.22234049658636934
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	gpt-4o-2024-08-06_zeroshot_baseline_count	overall	0.4262426049818597	0.15554015492245	2.9623595490762025	0.0030529105541108326
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	gpt-4o-2024-08-06_zeroshot_baseline_score	overall	0.4262426049818597	0.09240446889823947	3.598972271150459	0.00031947724820402534
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	gpt-4o-2024-08-06_zeroshot_description_count	overall	0.4262426049818597	0.40112322515879406	0.30081035608433865	0.7635591109447228
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	gpt-4o-2024-08-06_zeroshot_description_score	overall	0.4262426049818597	0.39491107770853584	0.37407022928560324	0.7083520670685579
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	baseline_sbert-carrier	overall	0.4262426049818597			
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	baseline_count	overall	0.4262426049818597			
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	baseline_gpt4-turbo	overall	0.4262426049818597	0.3129596803824239	1.304831673235583	0.19195017142742232
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	baseline_gpt4-turbo_sbert-carrier	overall	0.4262426049818597			
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	overall	0.4262426049818597			
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	overall	0.4262426049818597			
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	overall	0.4262426049818597			
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	overall	0.4262426049818597			
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	overall	0.4262426049818597			
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	gpt-4o-2024-08-06_zeroshot_description_score_sbert	overall	0.4262426049818597			
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	overall	0.411507136730496	0.42812813358202345	-0.20026295450640472	0.8412749336546492
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	overall	0.411507136730496	0.39728873345469135	0.16870896250357578	0.8660255687798504
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_count	overall	0.411507136730496	0.43108204569010666	-0.23621509024686235	0.8132657704880857
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score	overall	0.411507136730496	0.36634790988980537	0.5282522426622454	0.5973242736969686
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_description_count	overall	0.411507136730496	0.359421562060993	0.6074200264425199	0.5435722014448949
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_description_score	overall	0.411507136730496	0.32061959714693455	1.0429558047791918	0.2969687620116175
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_baseline_count	overall	0.411507136730496	0.15554015492245	2.7849871879309487	0.005352983813277756
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_baseline_score	overall	0.411507136730496	0.09240446889823947	3.421599910005205	0.0006225384764750874
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_count	overall	0.411507136730496	0.40112322515879406	0.12343799493908485	0.9017602715088779
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_score	overall	0.411507136730496	0.39491107770853584	0.19669786814034942	0.8440639784821364
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	baseline_sbert-carrier	overall	0.411507136730496			
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	baseline_count	overall	0.411507136730496			
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	baseline_gpt4-turbo	overall	0.411507136730496	0.3129596803824239	1.1274593120903291	0.2595483340602598
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	baseline_gpt4-turbo_sbert-carrier	overall	0.411507136730496			
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	overall	0.411507136730496			
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	overall	0.411507136730496			
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	overall	0.411507136730496			
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	overall	0.411507136730496			
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	overall	0.411507136730496			
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_score_sbert	overall	0.411507136730496			
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	overall	0.42812813358202345	0.39728873345469135	0.3689719170099805	0.7121486571562345
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	gpt-4-turbo-2024-04-09_zeroshot_baseline_count	overall	0.42812813358202345	0.43108204569010666	-0.035952135740457615	0.9713205244028691
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	gpt-4-turbo-2024-04-09_zeroshot_baseline_score	overall	0.42812813358202345	0.36634790988980537	0.7285151971686501	0.46629826920602113
