model1	model2	concept	r1	r2	z	p
baseline_count	baseline_sbert-carrier	war	0.4479671629533972	0.3667869887758438	0.9671499321328069	0.33346908717315116
baseline_count	baseline_sbert-carrier	animal	0.5047263816577493	0.4523021917792818	0.6752498079411583	0.4995170667546791
baseline_count	baseline_sbert-carrier	commodity	0.19626706831063798	0.27215137716090765	-0.7973392368046553	0.4252540384871877
baseline_count	baseline_sbert-carrier	pressure	0.2029851297077634	0.189078630176784	0.14353664786797396	0.8858663700793592
baseline_count	baseline_sbert-carrier	vermin	0.3101031233382253	0.32778641297395605	-0.19538469411731238	0.8450917980267247
baseline_count	baseline_sbert-carrier	parasite	0.34600668167554327	0.1469827815564116	2.112426146627069	0.03464991431778541
baseline_count	baseline_sbert-carrier	overall				
baseline_count	baseline_sbert-carrier	water	0.5734495739430119	0.2967311999532111	3.441059742608216	0.0005794405795023216
baseline_count	baseline_sbert-carrier	all_documents	0.37263088029865876	0.25975005232058723	3.320409682217046	0.0008988543773407187
baseline_gpt4-turbo	baseline_sbert-carrier	war	0.3719340213598322	0.3667869887758438	0.05915315063643789	0.9528301246347763
baseline_gpt4-turbo	baseline_sbert-carrier	animal	0.3307282840087068	0.4523021917792818	-1.4286137389462106	0.15311528310448042
baseline_gpt4-turbo	baseline_sbert-carrier	commodity	0.21136890515008563	0.27215137716090765	-0.6409579422311122	0.5215500086093643
baseline_gpt4-turbo	baseline_sbert-carrier	pressure	0.10508698653367324	0.189078630176784	-0.852583382888095	0.3938903808398293
baseline_gpt4-turbo	baseline_sbert-carrier	vermin	0.21270603458172158	0.32778641297395605	-1.234061729637402	0.2171799028053587
baseline_gpt4-turbo	baseline_sbert-carrier	parasite	0.2797124988083779	0.1469827815564116	1.3826614474111991	0.16676869825352703
baseline_gpt4-turbo	baseline_sbert-carrier	overall	0.3129596803824239			
baseline_gpt4-turbo	baseline_sbert-carrier	water	0.5729892522285114	0.2967311999532111	3.434255408066642	0.0005941840430245815
baseline_gpt4-turbo	baseline_sbert-carrier	all_documents	0.28254984088049	0.25975005232058723	0.6718113917422719	0.5017037755971481
baseline_gpt4-turbo_sbert-carrier	baseline_sbert-carrier	war	0.49216240866084027	0.3667869887758438	1.530435015811322	0.1259090872165083
baseline_gpt4-turbo_sbert-carrier	baseline_sbert-carrier	animal	0.5002020470783942	0.4523021917792818	0.6151813201051378	0.5384349826208952
baseline_gpt4-turbo_sbert-carrier	baseline_sbert-carrier	commodity	0.3105580561198212	0.27215137716090765	0.41661070318787613	0.6769631792868209
baseline_gpt4-turbo_sbert-carrier	baseline_sbert-carrier	pressure	0.19115186983732854	0.189078630176784	0.021347920040476538	0.9829681178713565
baseline_gpt4-turbo_sbert-carrier	baseline_sbert-carrier	vermin	0.3174559247871402	0.32778641297395605	-0.11444008861873196	0.908888936602658
baseline_gpt4-turbo_sbert-carrier	baseline_sbert-carrier	parasite	0.3232730597102749	0.1469827815564116	1.8583302960134742	0.06312212409083617
baseline_gpt4-turbo_sbert-carrier	baseline_sbert-carrier	overall				
baseline_gpt4-turbo_sbert-carrier	baseline_sbert-carrier	water	0.5638792051479223	0.2967311999532111	3.3006763600796796	0.0009645207297195313
baseline_gpt4-turbo_sbert-carrier	baseline_sbert-carrier	all_documents	0.38383557151051406	0.25975005232058723	3.6659842031802117	0.0002463891351240921
baseline_count	baseline_gpt4-turbo	war	0.4479671629533972	0.3719340213598322	0.907996781496369	0.3638799221078908
baseline_count	baseline_gpt4-turbo	animal	0.5047263816577493	0.3307282840087068	2.1038635468873688	0.0353903516141969
baseline_count	baseline_gpt4-turbo	commodity	0.19626706831063798	0.21136890515008563	-0.15638129457354308	0.8757324805417674
baseline_count	baseline_gpt4-turbo	pressure	0.2029851297077634	0.10508698653367324	0.9961200307560689	0.31919182845822447
baseline_count	baseline_gpt4-turbo	vermin	0.3101031233382253	0.21270603458172158	1.0386770355200896	0.29895496488593065
baseline_count	baseline_gpt4-turbo	parasite	0.34600668167554327	0.2797124988083779	0.7297646992158697	0.4655340256923388
baseline_count	baseline_gpt4-turbo	overall		0.3129596803824239		
baseline_count	baseline_gpt4-turbo	water	0.5734495739430119	0.5729892522285114	0.00680433454157357	0.994570968415867
baseline_count	baseline_gpt4-turbo	all_documents	0.37263088029865876	0.28254984088049	2.7577077363955333	0.005820821492967365
baseline_count	baseline_gpt4-turbo_sbert-carrier	war	0.4479671629533972	0.49216240866084027	-0.5632850836785152	0.5732407736257457
baseline_count	baseline_gpt4-turbo_sbert-carrier	animal	0.5047263816577493	0.5002020470783942	0.06006848783602045	0.9521010876901639
baseline_count	baseline_gpt4-turbo_sbert-carrier	commodity	0.19626706831063798	0.3105580561198212	-1.2139499399925315	0.22476684087804633
baseline_count	baseline_gpt4-turbo_sbert-carrier	pressure	0.2029851297077634	0.19115186983732854	0.12218872782749743	0.9027495534520731
baseline_count	baseline_gpt4-turbo_sbert-carrier	vermin	0.3101031233382253	0.3174559247871402	-0.08094460549858043	0.9354860062670216
baseline_count	baseline_gpt4-turbo_sbert-carrier	parasite	0.34600668167554327	0.3232730597102749	0.2540958506135945	0.7994215089286032
baseline_count	baseline_gpt4-turbo_sbert-carrier	overall				
baseline_count	baseline_gpt4-turbo_sbert-carrier	water	0.5734495739430119	0.5638792051479223	0.14038338252853608	0.8883570866540327
baseline_count	baseline_gpt4-turbo_sbert-carrier	all_documents	0.37263088029865876	0.38383557151051406	-0.34557452096316543	0.7296624968628436
baseline_gpt4-turbo	baseline_gpt4-turbo_sbert-carrier	war	0.3719340213598322	0.49216240866084027	-1.4712818651748842	0.14121490557714766
baseline_gpt4-turbo	baseline_gpt4-turbo_sbert-carrier	animal	0.3307282840087068	0.5002020470783942	-2.0437950590513485	0.04097379749677543
baseline_gpt4-turbo	baseline_gpt4-turbo_sbert-carrier	commodity	0.21136890515008563	0.3105580561198212	-1.0575686454189883	0.29025214349137607
baseline_gpt4-turbo	baseline_gpt4-turbo_sbert-carrier	pressure	0.10508698653367324	0.19115186983732854	-0.8739313029285716	0.3821556663170491
baseline_gpt4-turbo	baseline_gpt4-turbo_sbert-carrier	vermin	0.21270603458172158	0.3174559247871402	-1.11962164101867	0.2628750294993605
baseline_gpt4-turbo	baseline_gpt4-turbo_sbert-carrier	parasite	0.2797124988083779	0.3232730597102749	-0.4756688486022752	0.6343103173307809
baseline_gpt4-turbo	baseline_gpt4-turbo_sbert-carrier	overall	0.3129596803824239			
baseline_gpt4-turbo	baseline_gpt4-turbo_sbert-carrier	water	0.5729892522285114	0.5638792051479223	0.1335790479869625	0.893735452970746
