concept	ideology	alpha
all_documents	all_annotators	0.31624757533559533
animal	all_annotators	0.38016051758782066
parasite	all_annotators	0.5116916646220999
vermin	all_annotators	0.21346396293764647
water	all_annotators	0.5402052910052908
war	all_annotators	0.23102606613863064
commodity	all_annotators	0.1999783431446095
pressure	all_annotators	0.17126533477368477
domain-agnostic	all_annotators	0.1593366394040986
all_documents	Liberal	0.34453155322998175
all_documents	Moderate	0.2966265834310349
all_documents	Conservative	0.3113989637305702
animal	Liberal	0.4114730448663374
animal	Moderate	0.33336129988533736
animal	Conservative	0.37303333569924524
parasite	Liberal	0.54604533245095
parasite	Moderate	0.5375
parasite	Conservative	0.5295381310418905
vermin	Liberal	0.3075754911520694
vermin	Moderate	0.1490347573073475
vermin	Conservative	0.29200000000000004
water	Liberal	0.5856568962951942
water	Moderate	0.5124219313937797
water	Conservative	0.513221153846154
war	Liberal	0.23359123162412399
war	Moderate	0.26773146344630583
war	Conservative	0.026485325697924167
commodity	Liberal	0.19860333266779817
commodity	Moderate	0.17043245445550315
commodity	Conservative	0.30759354365370506
pressure	Liberal	0.21138596398038056
pressure	Moderate	0.1794099939795304
pressure	Conservative	0.2123456790123457
domain-agnostic	Liberal	0.14298026732478641
domain-agnostic	Moderate	0.21078968514865937
domain-agnostic	Conservative	0.03391812865497068
